t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,0.0,0.0,0,0,1,0,0.006,0.058,1,1,1,0,39.195,-0.047,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,268.9,0,0,0,0,0,1
100,0.0,0.0,0,0,1,0,0.017,0.116,1,1,1,0,39.186,-0.094,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,271.8,0,0,0,0,0,1
200,0.0,0.0,0,0,1,0,0.035,0.174,1,1,1,0,39.172,-0.141,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,267.6,0,0,0,0,0,1
300,0.0,0.0,0,0,1,0,0.058,0.232,1,1,1,0,39.153,-0.188,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,272.1,0,0,0,0,0,1
400,0.0,0.0,0,0,1,0,0.087,0.29,1,1,1,0,39.13,-0.235,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,268.9,0,0,0,0,0,1
500,0.0,0.0,0,0,1,0,0.122,0.347,1,1,1,0,39.101,-0.282,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,270.6,0,0,0,0,0,1
600,0.0,0.0,0,0,1,0,0.162,0.405,1,1,1,0,39.069,-0.328,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,269.1,0,0,0,0,0,1
700,0.0,0.0,0,0,1,0,0.208,0.463,1,1,1,0,39.031,-0.375,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,270.4,0,0,0,0,0,1
800,0.0,0.0,0,0,1,0,0.261,0.521,1,1,1,0,38.989,-0.422,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,267.6,0,0,0,0,0,1
900,0.0,0.0,0,0,1,0,0.318,0.579,1,1,1,0,38.942,-0.469,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,269.0,0,0,0,0,0,1
1000,0.0,0.0,0,0,1,0,0.382,0.637,1,1,1,0,38.89,-0.516,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,271.1,0,0,0,0,0,1
1100,0.0,0.0,0,0,1,0,0.452,0.695,1,1,1,0,38.834,-0.563,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,270.1,0,0,0,0,0,1
1200,0.0,0.0,0,0,1,0,0.527,0.753,1,1,1,0,38.773,-0.61,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,271.0,0,0,0,0,0,1
1300,0.0,0.0,0,0,1,0,0.608,0.811,1,1,1,0,38.707,-0.657,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,272.8,0,0,0,0,0,1
1400,0.0,0.0,0,0,1,0,0.695,0.869,1,1,1,0,38.637,-0.704,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.1,270.3,0,0,0,0,0,1
1500,0.0,0.0,0,0,1,0,0.788,0.927,1,1,1,0,38.562,-0.751,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,267.3,0,0,0,0,0,1
1600,0.0,0.0,0,0,1,0,0.886,0.984,1,1,1,0,38.482,-0.798,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,271.3,0,0,0,0,0,1
1700,0.0,0.0,0,0,1,0,0.99,1.042,1,1,1,0,38.398,-0.845,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.3,271.0,0,0,0,0,0,1
1800,0.0,0.0,0,0,1,0,1.1,1.1,1,1,1,0,38.308,-0.892,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,270.0,0,0,0,0,0,1
1900,0.0,0.0,0,0,1,0,1.216,1.158,1,1,1,0,38.215,-0.939,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,266.1,0,0,0,0,0,1
2000,0.0,0.0,0,0,1,0,1.338,1.216,1,1,1,0,38.116,-0.985,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,264.8,0,0,0,0,0,1
2100,0.0,0.0,0,0,1,0,1.465,1.274,1,1,1,0,38.013,-1.032,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.0,272.0,0,0,0,0,0,1
2200,0.0,0.0,0,0,1,0,1.598,1.332,1,1,1,0,37.905,-1.079,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,268.3,0,0,0,0,0,1
2300,0.0,0.0,0,0,1,0,1.737,1.39,1,1,1,0,37.792,-1.126,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,270.6,0,0,0,0,0,1
2400,0.0,0.0,0,0,1,0,1.882,1.448,1,1,1,0,37.675,-1.173,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,269.6,0,0,0,0,0,1
2500,0.0,0.0,0,0,1,0,2.033,1.506,1,1,1,0,37.553,-1.22,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,269.0,0,0,0,0,0,1
2600,0.0,0.0,0,0,1,0,2.189,1.563,1,1,1,0,37.429,-1.239,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,268.3,0,0,0,0,0,1
2700,0.0,0.0,0,0,1,0,2.351,1.621,1,1,1,0,37.305,-1.239,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,271.4,0,0,0,0,0,1
