t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,0.0,0.0,0,0,1,0,0.006,0.057,1,1,1,0,39.195,-0.051,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.6,268.9,0,0,0,0,0,1
100,0.0,0.0,0,0,1,0,0.017,0.113,1,1,1,0,39.185,-0.102,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,268.8,0,0,0,0,0,1
200,0.0,0.0,0,0,1,0,0.034,0.17,1,1,1,0,39.17,-0.152,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,275.1,0,0,0,0,0,1
300,0.0,0.0,0,0,1,0,0.057,0.227,1,1,1,0,39.149,-0.203,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,272.4,0,0,0,0,0,1
400,0.0,0.0,0,0,1,0,0.085,0.283,1,1,1,0,39.124,-0.254,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,268.2,0,0,0,0,0,1
500,0.0,0.0,0,0,1,0,0.119,0.34,1,1,1,0,39.093,-0.305,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,267.2,0,0,0,0,0,1
600,0.0,0.0,0,0,1,0,0.159,0.397,1,1,1,0,39.058,-0.355,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,271.1,0,0,0,0,0,1
700,0.0,0.0,0,0,1,0,0.204,0.453,1,1,1,0,39.017,-0.406,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,269.0,0,0,0,0,0,1
800,0.0,0.0,0,0,1,0,0.255,0.51,1,1,1,0,38.972,-0.457,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.4,269.6,0,0,0,0,0,1
900,0.0,0.0,0,0,1,0,0.312,0.567,1,1,1,0,38.921,-0.508,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,269.7,0,0,0,0,0,1
1000,0.0,0.0,0,0,1,0,0.374,0.623,1,1,1,0,38.865,-0.559,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,264.5,0,0,0,0,0,1
1100,0.0,0.0,0,0,1,0,0.442,0.68,1,1,1,0,38.804,-0.609,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.3,270.3,0,0,0,0,0,1
1200,0.0,0.0,0,0,1,0,0.516,0.737,1,1,1,0,38.738,-0.66,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,267.5,0,0,0,0,0,1
1300,0.0,0.0,0,0,1,0,0.595,0.793,1,1,1,0,38.667,-0.711,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,274.1,0,0,0,0,0,1
1400,0.0,0.0,0,0,1,0,0.68,0.85,1,1,1,0,38.591,-0.762,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,268.6,0,0,0,0,0,1
1500,0.0,0.0,0,0,1,0,0.771,0.907,1,1,1,0,38.509,-0.812,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.1,271.2,0,0,0,0,0,1
1600,0.0,0.0,0,0,1,0,0.867,0.963,1,1,1,0,38.423,-0.863,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,272.3,0,0,0,0,0,1
1700,0.0,0.0,0,0,1,0,0.969,1.02,1,1,1,0,38.332,-0.914,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,271.8,0,0,0,0,0,1
1800,0.0,0.0,0,0,1,0,1.077,1.077,1,1,1,0,38.235,-0.965,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,272.5,0,0,0,0,0,1
1900,0.0,0.0,0,0,1,0,1.19,1.133,1,1,1,0,38.134,-1.015,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,268.1,0,0,0,0,0,1
2000,0.0,0.0,0,0,1,0,1.309,1.19,1,1,1,0,38.027,-1.066,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,271.5,0,0,0,0,0,1
2100,0.0,0.0,0,0,1,0,1.434,1.247,1,1,1,0,37.915,-1.117,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,271.1,0,0,0,0,0,1
2200,0.0,0.0,0,0,1,0,1.564,1.303,1,1,1,0,37.799,-1.168,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,272.2,0,0,0,0,0,1
2300,0.0,0.0,0,0,1,0,1.7,1.36,1,1,1,0,37.677,-1.219,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,272.4,0,0,0,0,0,1
