t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,36.962,0.015,1,1,1,0,0.006,0.06,1,1,1,0,39.195,-0.047,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.1,270.3,0,0,0,0,0,1
100,36.965,0.031,1,1,1,0,0.018,0.12,1,1,1,0,39.186,-0.093,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,269.6,0,0,0,0,0,1
200,36.969,0.046,1,1,1,0,0.036,0.18,1,1,1,0,39.172,-0.14,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,267.0,0,0,0,0,0,1
300,36.975,0.061,1,1,1,0,0.06,0.24,1,1,1,0,39.153,-0.186,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,266.0,0,0,0,0,0,1
400,36.983,0.077,1,1,1,0,0.09,0.3,1,1,1,0,39.13,-0.233,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.5,271.2,0,0,0,0,0,1
500,36.992,0.092,1,1,1,0,0.126,0.361,1,1,1,0,39.102,-0.279,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,272.2,0,0,0,0,0,1
600,37.003,0.107,1,1,1,0,0.168,0.421,1,1,1,0,39.07,-0.326,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,270.5,0,0,0,0,0,1
700,37.015,0.123,1,1,1,0,0.216,0.481,1,1,1,0,39.033,-0.372,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,264.5,0,0,0,0,0,1
800,37.029,0.138,1,1,1,0,0.27,0.541,1,1,1,0,38.991,-0.419,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,271.7,0,0,0,0,0,1
900,37.044,0.154,1,1,1,0,0.33,0.601,1,1,1,0,38.944,-0.465,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,273.6,0,0,0,0,0,1
1000,37.061,0.169,1,1,1,0,0.397,0.661,1,1,1,0,38.893,-0.512,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,269.8,0,0,0,0,0,1
1100,37.08,0.184,1,1,1,0,0.469,0.721,1,1,1,0,38.837,-0.558,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,267.4,0,0,0,0,0,1
1200,37.1,0.2,1,1,1,0,0.547,0.781,1,1,1,0,38.777,-0.605,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,268.5,0,0,0,0,0,1
